Adresse,Type de lieu,Horaire,Position,Mode ped,COORD_N_Y,COORD_E_X,LAT,LON,Field10,Field11
Rue des Evaux 2 - 1213 Onex,Maison de quartier,Lu - Ve 08:00 - 12:00/14:00 - 22:00,Intérieur du bâtiment au rez de chaussé,-,1116247.93,2496755.68,46.1897683,6.10134883,,
Rue des Lattes 43 (1217 Meyrin),Jardin de l'amitié (local des aînés),24/24,"A l'entrée côté cuisine, àl'opposée de l'entrée principale",NON,1121703.32,2495149.43,46.238493,6.079066,,
"Rue des Savoises 15, 1205 Genève",Maison internationale des association,Lu - Di 7:30 - 23:00,"Entrée principale, vers la réception",OUI,1117448.94,2499654.89,46.20099913,6.138601919,,
Rue du Bois-du-Lan 5 (1217 Meyrin),Multicuirs SA,Lundi - vendredi 7h30 - 18h00,Réception de l'entreprise,NON,1120328.69,2495063.6,46.226325,6.07825,,
"Rue du Couchant 15, 1248 Hermance",EMS,24/24,"Entrée principale, à droite en entrant",OUI,1128471.22,2508076.51,46.30134422,6.245517832,,
Rue du Général-Dufour 3 - 1204 Genève,Banque,Lu - Ve 08:30 - 17:30,Réception - sonner à l'entrée - AED se trouve à la réception à gauche en entrant,OUI,1117602.76,2499847.64,46.20241139,6.141065676,,
Rue du Grand-Bay 13 (1220 Les Avanchets),Ecole Avanchet-Jura,lundi-vendredi 9:00-12:00 14:00-17:00,Infirmerie,NON,1119831.57,2497359.52,46.222047,6.108507,,
Rue du Grand-Bay 21 (1220 Les Avanchets),Bibliothèque des Avanchets,lun 15:00-18:30 / mer 14:00-18:00 / jeu 15:00-19:00 / ven 10:00-12:00 14:00-18:00 / sam 10:00-12:00,Bureau,NON,1119706.25,2497388.63,46.221015,6.108679,,
Rue du Village 1 (1214 Vernier),Ancienne Mairie,lundi-vendredi 9:00-12:00 14:00-17:00,Couloir,NON,1119164.35,2495623.34,46.215822,6.086015,,
Rue du Village 37 (1294 Genthod),Mairie,24/24,Devant l'entrée de la mairie. Dans le passage entre les deux bâtisses.,OUI,1124483.99,2501202.24,46.264498,6.15716,,
Rue du Village 38 (1214 Vernier),Service des écoles et des locations,Lun-Ven 9:00-12:00 14:00-17:00,Couloir rez,NON,1118946.55,2495343.04,46.213809,6.082417,,
Rue du Village 57 (1214 Vernier),Bibliothèque de Vernier,lun 15:00-18:00 / mar 16:00-20:00 / mer 9:00-12:00 15:00-18:00 / jeu 12:00-18:00 / sam 10:00-12:00,A gauche après le sas,NON,1118805.46,2495233.25,46.212554,6.081002,,
Rue du Village 57 (1214 Vernier),Maison Chauvet Lullin,lundi-vendredi 9:00-12:00 14:00-17:00,Hall d'entrée,NON,1118805.46,2495233.25,46.212554,6.081037,,
Rue du Village 6 (1214 Vernier),Ecole des Ranches,"Lu, Ma, Je, Ve 8:15-17:00 / Me 8:15-12:15",Hall d'entrée - salle de gym,NON,1119220.66,2495459.39,46.216368,6.083927,,
Rue du Village 9 (1214 Vernier),Mairie de Vernier,lun-ven 9:00-12:00 14:00-17:00,Hall d'entrée,NON,1119097.27,2495528.75,46.215193,6.084787,,
Rue Francois-DURAFOUR 17 (1220 Les Avanchets),Ecole Avanchet-Salève,"Lu, Ma, Je, Ve 8:15-17:00 / Me 8:15-12:15",Couloir vers les cuisines scolaires,NON,1119572.05,2497520.05,46.219802,6.110469,,
Rue Francois-DUSSAUD 10 (1227 Les Acacias),Centre de la voirie municipale des Vernets,lu-ve 06h30-16h00,-,-,1116837.83,2499133.11,46.195406,6.132,,
Rue Gustave-Revilliod 4 - 1227 Carouge,MIGROS Carouge - Acacias,Lu-Me 07:30 -19:00 / Je 07:30 - 20:00 / Ve 07:30 - 19:30 / Sa 08:00 - 18:00,"Devant entrée principale, au niveau des caisses",OUI,1116370.2,2499557.61,46.19128203,6.137573897,,
Rue Hans-WILSDORF 4 (1227 Les Acacias),Parking du centre sportif des Vernets,24/24,"Au fond du parking, derrière les places handicapées",OUI,1116727.18,2499322.76,46.194698,6.134054,,
Rue Jacques-DALPHIN 24 (1227 Carouge GE),Maison Delafontaine - Etat Civil,lu 09h00-12h00 14h00-16h00 / ma 09h00-12.00 / me 09h00-11h00 12h00-16h00 / je-ve 09h00-12h00,Hall entrée à côté de l'ascenseur,OUI,1115622.49,2499671.98,46.184568,6.139258,,
Rue Pierre-FATIO 17 (1204 Geneve),Direction financière - Ville de Genève,24/24,Code de la porte 2020 - A côté de l'ascenseur,OUI,1117550.72,2500832.3,46.202062,6.15387,,
Rue Sonnex 20 - 1218 Le Grand-Saconnex,MIGROS Gd Saconnex - Le Pommier,"Lu, Ma, Me, Je, Sa 8:00-19:00 / Ve 7:30-19:30",Entrée gauche + gauche au fond du magasin de fleur,OUI,1120570.66,2498279.12,46.22887015,6.120100532,,
Via MONNET 10 (1214 Vernier),Restaurant du Tennis de Vernier,7j/7j Lun-Dim 8:30-01:00,Restaurant,NON,1119477.64,2495347.79,46.218629,6.082299,,
Via MONNET 3 (1214 Vernier),Centre d'entretien - bâtiment de la sécurité,Lundi-vendredi 7h30-11h30 et 13h30-16h00,Extérieur entre les deux bâtiments,NON,1119448.58,2495196.21,46.218446,6.080425,,
